# Tx_x Tx_z Rx_x Rx_z travel_time
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 1.000000000000000000e+01 5.588712956956661676e-02
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 2.000000000000000000e+01 5.609271527522163847e-02
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 3.000000000000000000e+01 5.661831256213283731e-02
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 4.000000000000000000e+01 5.721991731371737361e-02
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 5.000000000000000000e+01 5.819124162442659842e-02
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 6.000000000000000000e+01 5.936122201425562961e-02
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 7.000000000000000000e+01 6.074998920864477236e-02
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 8.000000000000000000e+01 6.216401793565534684e-02
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 9.000000000000000000e+01 6.387560704166371506e-02
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 1.000000000000000000e+02 6.581762638729621306e-02
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 1.100000000000000000e+02 6.782243156754096114e-02
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 1.200000000000000000e+02 7.007642759282585454e-02
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 1.300000000000000000e+02 7.255967439048841006e-02
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 1.400000000000000000e+02 7.503516047031814906e-02
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 1.500000000000000000e+02 7.769426730307445184e-02
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 1.600000000000000000e+02 8.051178305351844311e-02
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 1.700000000000000000e+02 8.336790201994261074e-02
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 1.800000000000000000e+02 8.631057208178037621e-02
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 1.900000000000000000e+02 8.963225242504146983e-02
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 2.000000000000000000e+02 9.277088408157777022e-02
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 2.100000000000000000e+02 9.614616996179051189e-02
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 2.200000000000000000e+02 9.972216575733945654e-02
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 2.300000000000000000e+02 1.033420272210845009e-01
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 2.400000000000000000e+02 1.070230730319821494e-01
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 2.500000000000000000e+02 1.107742067763600735e-01
